"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"17182-16859","SF","Lance","","Thomas","7.755555894639757","9","3500","SAC@NY","NY","SAC","","","",""
"17182-16348","SG","Darrun","","Hilliard","6.300000277432528","11","3500","ORL@DET","DET","ORL","","","",""
"17182-9693","PG","Beno","","Udrih","13.97142828078497","21","3500","ORL@DET","DET","ORL","","","",""
"17182-15585","SG","Michael","","Gbinije","1.3166666825612385","6","3500","ORL@DET","DET","ORL","","","",""
"17182-15589","C","Marshall","","Plumlee","7.349999904632568","2","3500","SAC@NY","NY","SAC","","","",""
"17182-9960","PF","Omri","","Casspi","10.769999694824218","10","3500","SAC@NY","SAC","NY","","","",""
"17182-58350","SF","Stanley","","Johnson","8.899999830457899","18","3500","ORL@DET","DET","ORL","","","",""
"17182-9968","SG","Jodie","","Meeks","16.200000762939453","1","3500","ORL@DET","ORL","DET","","","",""
"17182-9459","SF","Paul","","Pierce","7.480000305175781","5","3500","IND@LAC","LAC","IND","","","",""
"17182-42488","PF","Arinze","","Onuaku","1.7333332697550456","3","3500","ORL@DET","ORL","DET","","","",""
"17182-9465","PG","Raymond","","Felton","10.628571283249627","21","3500","IND@LAC","LAC","IND","","","",""
